Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.7248973846,1468387166215 
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.7284698486,1468387166221 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.7322387695,1468387166227 
Move forward to applanation setpoint,00001851,00001852,-0000001,00000000,31.7356128693,1468387166232 
Move forward to applanation setpoint,00001852,00001852,00000000,00000000,31.7390861511,1468387166238 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.7427558899,1468387166244 
Move forward to applanation setpoint,00001859,00001852,00000007,00000000,31.7467250824,1468387166250 
Move forward to applanation setpoint,00001855,00001852,00000003,00000000,31.7502975464,1468387166256 
Move forward to applanation setpoint,00001856,00001852,00000004,00000000,31.7540683746,1468387166262 
Move forward to applanation setpoint,00001876,00001852,00000024,00000000,31.7576389313,1468387166268 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,31.7610130310,1468387166274 
Move forward to applanation setpoint,00001860,00001852,00000008,00000000,31.7653789520,1468387166280 
Move forward to applanation setpoint,00001855,00001852,00000003,00000000,31.7688503265,1468387166286 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.7723236084,1468387166291 
Move forward to applanation setpoint,00001848,00001852,-0000004,00000000,31.7756977081,1468387166297 
Move forward to applanation setpoint,00001859,00001852,00000007,00000000,31.7794685364,1468387166303 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.7835350037,1468387166310 
Move forward to applanation setpoint,00001856,00001852,00000004,00000000,31.7869091034,1468387166316 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,31.7907791138,1468387166321 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,31.7942504883,1468387166327 
Move forward to applanation setpoint,00001860,00001852,00000008,00000000,31.7977237701,1468387166333 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,31.8016929626,1468387166339 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.8053646088,1468387166345 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.8089351654,1468387166351 
Move forward to applanation setpoint,00001858,00001852,00000006,00000000,31.8123092651,1468387166357 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,31.8160800934,1468387166362 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.8196506500,1468387166368 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.8232231140,1468387166374 
Move forward to applanation setpoint,00001859,00001852,00000007,00000000,31.8270931244,1468387166380 
Move forward to applanation setpoint,00001858,00001852,00000006,00000000,31.8304653168,1468387166386 
Move forward to applanation setpoint,00001866,00001852,00000014,00000000,31.8339385986,1468387166391 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,31.8376102448,1468387166397 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.8410816193,1468387166403 
Move forward to applanation setpoint,00001861,00001852,00000009,00000000,31.8448524475,1468387166409 
Move forward to applanation setpoint,00001866,00001852,00000014,00000000,31.8486232758,1468387166415 
Move forward to applanation setpoint,00001857,00001852,00000005,00000000,31.8520965576,1468387166421 
Move forward to applanation setpoint,00001866,00001852,00000014,00000000,31.8555679321,1468387166426 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.8591403961,1468387166432 
Move forward to applanation setpoint,00001858,00001852,00000006,00000000,31.8627128601,1468387166438 
Move forward to applanation setpoint,00001868,00001852,00000016,00000000,31.8663825989,1468387166444 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,31.8699550629,1468387166450 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.8734283447,1468387166455 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.8768997192,1468387166461 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.8803730011,1468387166467 
Move forward to applanation setpoint,00001858,00001852,00000006,00000000,31.8843421936,1468387166473 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.8877143860,1468387166478 
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.8912868500,1468387166484 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,31.8947601318,1468387166490 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.8981323242,1468387166495 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,31.9020023346,1468387166501 
Move forward to applanation setpoint,00001860,00001852,00000008,00000000,31.9054756165,1468387166507 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.9089488983,1468387166512 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.9123210907,1468387166518 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,31.9156951904,1468387166524 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,31.9197635651,1468387166530 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,31.9234333038,1468387166537 
Move forward to applanation setpoint,00001857,00001852,00000005,00000000,31.9273033142,1468387166543 
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.9311733246,1468387166549 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.9348449707,1468387166555 
Move forward to applanation setpoint,00001851,00001852,-0000001,00000000,31.9386138916,1468387166562 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,31.9427814484,1468387166568 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.9467506409,1468387166574 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.9504222870,1468387166580 
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.9541912079,1468387166586 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,31.9577636719,1468387166592 
Move forward to applanation setpoint,00001860,00001852,00000008,00000000,31.9613361359,1468387166598 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,31.9651050568,1468387166604 
Move forward to applanation setpoint,00001852,00001852,00000000,00000000,31.9688758850,1468387166610 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,31.9731426239,1468387166617 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,31.9769134521,1468387166623 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.9806823730,1468387166629 
Move forward to applanation setpoint,00001857,00001852,00000005,00000000,31.9848499298,1468387166636 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.9887199402,1468387166642 
Move forward to applanation setpoint,00001855,00001852,00000003,00000000,31.9925899506,1468387166648 
Move forward to applanation setpoint,00001870,00001852,00000018,00000000,31.9963588715,1468387166655 
Move forward to applanation setpoint,00001868,00001852,00000016,00000000,32.0003280640,1468387166660 
Move forward to applanation setpoint,00001881,00001852,00000029,00000000,32.0037002563,1468387166666 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,32.0074729919,1468387166672 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.0112419128,1468387166678 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.0147171021,1468387166684 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.0182876587,1468387166689 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,32.0221557617,1468387166696 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.0255317688,1468387166702 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.0293998718,1468387166707 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,32.0327720642,1468387166713 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,32.0362472534,1468387166719 
Move forward to applanation setpoint,00001868,00001852,00000016,00000000,32.0398178101,1468387166724 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.0432891846,1468387166730 
Move forward to applanation setpoint,00001870,00001852,00000018,00000000,32.0468635559,1468387166736 
Move forward to applanation setpoint,00001875,00001852,00000023,00000000,32.0503349304,1468387166742 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,32.0543022156,1468387166748 
Move forward to applanation setpoint,00001870,00001852,00000018,00000000,32.0580749512,1468387166754 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.0615463257,1468387166760 
Move forward to applanation setpoint,00001870,00001852,00000018,00000000,32.0652160645,1468387166766 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,32.0692863464,1468387166772 
Move forward to applanation setpoint,00001868,00001852,00000016,00000000,32.0727577209,1468387166778 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.0766296387,1468387166784 
Move forward to applanation setpoint,00001877,00001852,00000025,00000000,32.0802001953,1468387166790 
Move forward to applanation setpoint,00001859,00001852,00000007,00000000,32.0835723877,1468387166795 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.0872459412,1468387166801 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.0907173157,1468387166807 
Move forward to applanation setpoint,00001856,00001852,00000004,00000000,32.0946846008,1468387166813 
Move forward to applanation setpoint,00001861,00001852,00000009,00000000,32.0985565186,1468387166819 
Move forward to applanation setpoint,00001856,00001852,00000004,00000000,32.1020278931,1468387166825 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.1054000854,1468387166830 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.1088752747,1468387166837 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.1132392883,1468387166843 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.1169090271,1468387166849 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.1202850342,1468387166855 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,32.1240539551,1468387166861 
Move forward to applanation setpoint,00001860,00001852,00000008,00000000,32.1275253296,1468387166866 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.1312980652,1468387166872 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.1348686218,1468387166878 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.1383399963,1468387166884 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.1422119141,1468387166890 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,32.1455841064,1468387166895 
Move forward to applanation setpoint,00001861,00001852,00000009,00000000,32.1490592957,1468387166902 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.1528282166,1468387166907 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.1562995911,1468387166913 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,32.1601715088,1468387166919 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,32.1636428833,1468387166925 
Move forward to applanation setpoint,00001863,00001852,00000011,00000000,32.1671142578,1468387166931 
Move forward to applanation setpoint,00001866,00001852,00000014,00000000,32.1709861755,1468387166937 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.1747550964,1468387166943 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,32.1783256531,1468387166948 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,32.1818008423,1468387166954 
Move forward to applanation setpoint,00001870,00001852,00000018,00000000,32.1856689453,1468387166961 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.1895370483,1468387166967 
Move forward to applanation setpoint,00001858,00001852,00000006,00000000,32.1930122375,1468387166973 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.1967811584,1468387166978 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.2002525330,1468387166984 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,32.2036285400,1468387166990 
Move forward to applanation setpoint,00001866,00001852,00000014,00000000,32.2074966431,1468387166996 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.2109680176,1468387167002 
Move forward to applanation setpoint,00001883,00001852,00000031,00000000,32.2147407532,1468387167008 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.2191047668,1468387167014 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,32.2226791382,1468387167020 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.2261505127,1468387167026 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.2297210693,1468387167032 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.2336921692,1468387167038 
Move forward to applanation setpoint,00001875,00001852,00000023,00000000,32.2372627258,1468387167044 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.2408332825,1468387167050 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.2446060181,1468387167056 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.2480773926,1468387167062 
Move forward to applanation setpoint,00001876,00001852,00000024,00000000,32.2519454956,1468387167068 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.2556190491,1468387167073 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.2590904236,1468387167079 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.2625617981,1468387167085 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.2662353516,1468387167091 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.2700042725,1468387167097 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.2734794617,1468387167102 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.2771492004,1468387167108 
Move forward to applanation setpoint,00001867,00001852,00000015,00000000,32.2806205750,1468387167114 
Move forward to applanation setpoint,00001868,00001852,00000016,00000000,32.2839965820,1468387167119 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.2874679565,1468387167125 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.2908401489,1468387167131 
Move forward to applanation setpoint,00001860,00001852,00000008,00000000,32.2943153381,1468387167136 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,32.2977867126,1468387167142 
Move forward to applanation setpoint,00001868,00001852,00000016,00000000,32.3014564514,1468387167148 
Move forward to applanation setpoint,00001875,00001852,00000023,00000000,32.3055267334,1468387167154 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.3089981079,1468387167160 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.3123703003,1468387167165 
Move forward to applanation setpoint,00001877,00001852,00000025,00000000,32.3159446716,1468387167171 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.3193168640,1468387167177 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.3230857849,1468387167183 
Move forward to applanation setpoint,00001882,00001852,00000030,00000000,32.3265609741,1468387167188 
Move forward to applanation setpoint,00001877,00001852,00000025,00000000,32.3300323486,1468387167194 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.3335037231,1468387167200 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.3369789124,1468387167205 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.3404502869,1468387167211 
Move forward to applanation setpoint,00001876,00001852,00000024,00000000,32.3440208435,1468387167217 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.3475952148,1468387167222 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.3509674072,1468387167228 
Move forward to applanation setpoint,00001875,00001852,00000023,00000000,32.3544387817,1468387167233 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.3579139709,1468387167239 
Move forward to applanation setpoint,00001874,00001852,00000022,00000000,32.3615837097,1468387167245 
Move forward to applanation setpoint,00001880,00001852,00000028,00000000,32.3652534485,1468387167251 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.3687286377,1468387167257 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.3722000122,1468387167262 
Move forward to applanation setpoint,00001888,00001852,00000036,00000000,32.3756713867,1468387167268 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.3795433044,1468387167274 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.3830146790,1468387167280 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.3864860535,1468387167285 
Move forward to applanation setpoint,00001887,00001852,00000035,00000000,32.3898620605,1468387167291 
Move forward to applanation setpoint,00001876,00001852,00000024,00000000,32.3932342529,1468387167296 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.3971061707,1468387167303 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.4006767273,1468387167308 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.4041481018,1468387167314 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.4075241089,1468387167319 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.4109954834,1468387167325 
Move forward to applanation setpoint,00001881,00001852,00000029,00000000,32.4144668579,1468387167330 
Move forward to applanation setpoint,00001882,00001852,00000030,00000000,32.4178428650,1468387167336 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,32.4215126038,1468387167342 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.4252815247,1468387167348 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.4288558960,1468387167354 
Move forward to applanation setpoint,00001874,00001852,00000022,00000000,32.4322280884,1468387167359 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.4356994629,1468387167365 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.4393730164,1468387167371 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.4430427551,1468387167377 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.4466133118,1468387167382 
Move forward to applanation setpoint,00001880,00001852,00000028,00000000,32.4499893188,1468387167388 
Move forward to applanation setpoint,00001891,00001852,00000039,00000000,32.4533615112,1468387167393 
Move forward to applanation setpoint,00001874,00001852,00000022,00000000,32.4568328857,1468387167399 
Move forward to applanation setpoint,00001890,00001852,00000038,00000000,32.4605064392,1468387167405 
Move forward to applanation setpoint,00001882,00001852,00000030,00000000,32.4639778137,1468387167411 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.4673500061,1468387167416 
Move forward to applanation setpoint,00001882,00001852,00000030,00000000,32.4708251953,1468387167422 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.4742965698,1468387167428 
Move forward to applanation setpoint,00001888,00001852,00000036,00000000,32.4781646729,1468387167433 
Move forward to applanation setpoint,00001891,00001852,00000039,00000000,32.4816398621,1468387167439 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.4851112366,1468387167445 
Move forward to applanation setpoint,00001881,00001852,00000029,00000000,32.4886817932,1468387167451 
Move forward to applanation setpoint,00001891,00001852,00000039,00000000,32.4921569824,1468387167456 
Move forward to applanation setpoint,00001873,00001852,00000021,00000000,32.4960250854,1468387167462 
Move forward to applanation setpoint,00001889,00001852,00000037,00000000,32.4994964600,1468387167468 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.5029716492,1468387167474 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.5064430237,1468387167479 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.5099143982,1468387167485 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.5132904053,1468387167490 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.5166625977,1468387167496 
Move forward to applanation setpoint,00001888,00001852,00000036,00000000,32.5204315186,1468387167502 
Move forward to applanation setpoint,00001872,00001852,00000020,00000000,32.5241050720,1468387167508 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.5275764465,1468387167513 
Move forward to applanation setpoint,00001877,00001852,00000025,00000000,32.5309486389,1468387167519 
Move forward to applanation setpoint,00001877,00001852,00000025,00000000,32.5344238281,1468387167525 
Move forward to applanation setpoint,00001889,00001852,00000037,00000000,32.5378952026,1468387167531 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.5416641235,1468387167536 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.5450401306,1468387167542 
Move forward to applanation setpoint,00001876,00001852,00000024,00000000,32.5487098694,1468387167548 
Move forward to applanation setpoint,00001888,00001852,00000036,00000000,32.5521850586,1468387167553 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.5557556152,1468387167560 
Move forward to applanation setpoint,00001889,00001852,00000037,00000000,32.5596237183,1468387167565 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.5630989075,1468387167571 
Move forward to applanation setpoint,00001887,00001852,00000035,00000000,32.5665702820,1468387167576 
Move forward to applanation setpoint,00001885,00001852,00000033,00000000,32.5699424744,1468387167582 
Move forward to applanation setpoint,00001888,00001852,00000036,00000000,32.5734176636,1468387167588 
Move forward to applanation setpoint,00001886,00001852,00000034,00000000,32.5767898560,1468387167593 
Move forward to applanation setpoint,00001890,00001852,00000038,00000000,32.5801620483,1468387167598 
Move forward to applanation setpoint,00001889,00001852,00000037,00000000,32.5836372375,1468387167604 
Move forward to applanation setpoint,00001881,00001852,00000029,00000000,32.5871086121,1468387167610 
Move forward to applanation setpoint,00001878,00001852,00000026,00000000,32.5908775330,1468387167616 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.5944519043,1468387167622 
Move forward to applanation setpoint,00001889,00001852,00000037,00000000,32.5978240967,1468387167627 
Move forward to applanation setpoint,00001876,00001852,00000024,00000000,32.6011962891,1468387167633 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.6046714783,1468387167639 
Move forward to applanation setpoint,00001887,00001852,00000035,00000000,32.6086387634,1468387167645 
Move forward to applanation setpoint,00001877,00001852,00000025,00000000,32.6121101379,1468387167650 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.6155853271,1468387167656 
Move forward to applanation setpoint,00001879,00001852,00000027,00000000,32.6191558838,1468387167661 
Move forward to applanation setpoint,00001891,00001852,00000039,00000000,32.6225280762,1468387167668 
Move forward to applanation setpoint,00001871,00001852,00000019,00000000,32.6264991760,1468387167673 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.6299705505,1468387167679 
Move forward to applanation setpoint,00001875,00001852,00000023,00000000,32.6333427429,1468387167685 
Move forward to applanation setpoint,00001883,00001852,00000031,00000000,32.6368179321,1468387167690 
Move forward to applanation setpoint,00001883,00001852,00000031,00000000,32.6401901245,1468387167696 
Move forward to applanation setpoint,00001890,00001852,00000038,00000000,32.6435623169,1468387167701 
Move forward to applanation setpoint,00001889,00001852,00000037,00000000,32.6470375061,1468387167707 
Move forward to applanation setpoint,00001884,00001852,00000032,00000000,32.6511039734,1468387167713 
Move forward to applanation setpoint,00001894,00001852,00000042,00000000,32.6546745300,1468387167719 
Move forward to applanation setpoint,00001891,00001852,00000039,00000000,32.6580505371,1468387167725 
Move forward to applanation setpoint,00001898,00001852,00000046,00000000,32.6615219116,1468387167730 
Move forward to applanation setpoint,00001891,00001852,00000039,00000000,32.6649932861,1468387167736 
Move forward to applanation setpoint,00001902,00001852,00000050,00000000,32.6688652039,1468387167742 
Move forward to applanation setpoint,00001902,00001852,00000050,00000000,32.6725349426,1468387167748 
Move forward to applanation setpoint,00001888,00001852,00000036,00000000,32.6759071350,1468387167753 
Move forward to applanation setpoint,00001895,00001852,00000043,00000000,32.6793823242,1468387167759 
Move forward to applanation setpoint,00001904,00001852,00000052,00000000,32.6828536987,1468387167765 
Move forward to applanation setpoint,00001894,00001852,00000042,00000000,32.6867256165,1468387167771 
Move forward to applanation setpoint,00001899,00001852,00000047,00000000,32.6901969910,1468387167777 
Move forward to applanation setpoint,00001904,00001852,00000052,00000000,32.6936683655,1468387167782 
Move forward to applanation setpoint,00001904,00001852,00000052,00000000,32.6970443726,1468387167788 
Move forward to applanation setpoint,00001910,00001852,00000058,00000000,32.7005157471,1468387167793 
Move forward to applanation setpoint,00001904,00001852,00000052,00000000,32.7038879395,1468387167799 
Move forward to applanation setpoint,00001922,00001852,00000070,00000000,32.7077598572,1468387167805 
Move forward to applanation setpoint,00001910,00001852,00000058,00000000,32.7112312317,1468387167810 
Move forward to applanation setpoint,00001921,00001852,00000069,00000000,32.7147026062,1468387167816 
Move forward to applanation setpoint,00001919,00001852,00000067,00000000,32.7181777954,1468387167822 
Move forward to applanation setpoint,00001918,00001852,00000066,00000000,32.7215499878,1468387167828 
Move forward to applanation setpoint,00001927,00001852,00000075,00000000,32.7255172729,1468387167834 
Move forward to applanation setpoint,00001927,00001852,00000075,00000000,32.7288932800,1468387167839 
Move forward to applanation setpoint,00001924,00001852,00000072,00000000,32.7324638367,1468387167845 
Move forward to applanation setpoint,00001915,00001852,00000063,00000000,32.7359352112,1468387167851 
Move forward to applanation setpoint,00001922,00001852,00000070,00000000,32.7394104004,1468387167856 
Move forward to applanation setpoint,00001927,00001852,00000075,00000000,32.7428817749,1468387167862 
Move forward to applanation setpoint,00001930,00001852,00000078,00000000,32.7463531494,1468387167868 
Move forward to applanation setpoint,00001922,00001852,00000070,00000000,32.7503242493,1468387167874 
Move forward to applanation setpoint,00001922,00001852,00000070,00000000,32.7537956238,1468387167879 
Move forward to applanation setpoint,00001919,00001852,00000067,00000000,32.7571678162,1468387167885 
Move forward to applanation setpoint,00001935,00001852,00000083,00000000,32.7606430054,1468387167890 
Move forward to applanation setpoint,00001924,00001852,00000072,00000000,32.7640151978,1468387167896 
Move forward to applanation setpoint,00001934,00001852,00000082,00000000,32.7676849365,1468387167902 
Move forward to applanation setpoint,00001937,00001852,00000085,00000000,32.7713584900,1468387167908 
Move forward to applanation setpoint,00001934,00001852,00000082,00000000,32.7748298645,1468387167914 
Move forward to applanation setpoint,00001936,00001852,00000084,00000000,32.7784004211,1468387167919 
Move forward to applanation setpoint,00001941,00001852,00000089,00000000,32.7818756104,1468387167925 
Move forward to applanation setpoint,00001950,00001852,00000098,00000000,32.7853469849,1468387167931 
Move forward to applanation setpoint,00001929,00001852,00000077,00000000,32.7890167236,1468387167936 
Move forward to applanation setpoint,00001935,00001852,00000083,00000000,32.7924919128,1468387167942 
Move forward to applanation setpoint,00001929,00001852,00000077,00000000,32.7960624695,1468387167948 
Move forward to applanation setpoint,00001941,00001852,00000089,00000000,32.7995338440,1468387167954 
Move forward to applanation setpoint,00001926,00001852,00000074,00000000,32.8031082153,1468387167960 
Move forward to applanation setpoint,00001939,00001852,00000087,00000000,32.8067779541,1468387167965 
Move forward to applanation setpoint,00001930,00001852,00000078,00000000,32.8103485107,1468387167971 
Move forward to applanation setpoint,00001938,00001852,00000086,00000000,32.8137245178,1468387167976 
Move forward to applanation setpoint,00001936,00001852,00000084,00000000,32.8171958923,1468387167982 
Move forward to applanation setpoint,00001930,00001852,00000078,00000000,32.8205680847,1468387167988 
Move forward to applanation setpoint,00001945,00001852,00000093,00000000,32.8239440918,1468387167993 
Move forward to applanation setpoint,00001936,00001852,00000084,00000000,32.8273162842,1468387167998 
Move forward to applanation setpoint,00001954,00001852,00000102,00000000,32.8306884766,1468387168004 
Move forward to applanation setpoint,00001939,00001852,00000087,00000000,32.8341636658,1468387168010 
Move forward to applanation setpoint,00001960,00001852,00000108,00000000,32.8379325867,1468387168016 
Move forward to applanation setpoint,00001948,00001852,00000096,00000000,32.8415069580,1468387168021 
Move forward to applanation setpoint,00001950,00001852,00000098,00000000,32.8448791504,1468387168027 
Move forward to applanation setpoint,00001950,00001852,00000098,00000000,32.8482513428,1468387168032 
Move forward to applanation setpoint,00001956,00001852,00000104,00000000,32.8517227173,1468387168038 
Move forward to applanation setpoint,00001954,00001852,00000102,00000000,32.8554954529,1468387168045 
Move forward to applanation setpoint,00001964,00001852,00000112,00000000,32.8593635559,1468387168050 
Move forward to applanation setpoint,00001960,00001852,00000108,00000000,32.8628387451,1468387168056 
Move forward to applanation setpoint,00001960,00001852,00000108,00000000,32.8663101196,1468387168061 
Move forward to applanation setpoint,00001966,00001852,00000114,00000000,32.8696823120,1468387168067 
Move forward to applanation setpoint,00001956,00001852,00000104,00000000,32.8733558655,1468387168073 
Move forward to applanation setpoint,00001965,00001852,00000113,00000000,32.8772239685,1468387168079 
Move forward to applanation setpoint,00001958,00001852,00000106,00000000,32.8806953430,1468387168085 
Move forward to applanation setpoint,00001973,00001852,00000121,00000000,32.8841705322,1468387168090 
