Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Seeking initial Contact,00001893,00001852,00000041,00000000,30.8812408447,1468387164341 
Seeking initial Contact,00001880,00001852,00000028,00000000,30.8971157074,1468387164347 
Seeking initial Contact,00001848,00001852,-0000004,00000000,30.9125938416,1468387164353 
Seeking initial Contact,00001828,00001852,-0000024,00000000,30.9265823364,1468387164359 
Seeking initial Contact,00001824,00001852,-0000028,00000000,30.9403743744,1468387164364 
Seeking initial Contact,00001847,00001852,-0000005,00000000,30.9543647766,1468387164370 
Seeking initial Contact,00001849,00001852,-0000003,00000000,30.9685535431,1468387164376 
Seeking initial Contact,00001887,00001852,00000035,00000000,30.9840316772,1468387164382 
Seeking initial Contact,00001880,00001852,00000028,00000000,30.9983177185,1468387164388 
Seeking initial Contact,00001878,00001852,00000026,00000000,31.0120105743,1468387164393 
Seeking initial Contact,00001845,00001852,-0000007,00000000,31.0256042480,1468387164399 
Seeking initial Contact,00001845,00001852,-0000007,00000000,31.0395927429,1468387164405 
Seeking initial Contact,00001854,00001852,00000002,00000000,31.0550708771,1468387164411 
Seeking initial Contact,00001828,00001852,-0000024,00000000,31.0690612793,1468387164416 
Seeking initial Contact,00001891,00001852,00000039,00000000,31.0830516815,1468387164422 
Seeking initial Contact,00001882,00001852,00000030,00000000,31.0968418121,1468387164428 
Seeking initial Contact,00001912,00001852,00000060,00000000,31.1109313965,1468387164434 
Seeking initial Contact,00001873,00001852,00000021,00000000,31.1265087128,1468387164439 
Seeking initial Contact,00001851,00001852,-0000001,00000000,31.1408958435,1468387164445 
Seeking initial Contact,00001833,00001852,-0000019,00000000,31.1553821564,1468387164451 
Seeking initial Contact,00001842,00001852,-0000010,00000000,31.1692714691,1468387164457 
Seeking initial Contact,00001853,00001852,00000001,00000000,31.1831626892,1468387164462 
Seeking initial Contact,00001848,00001852,-0000004,00000000,31.1975498199,1468387164469 
Seeking initial Contact,00001894,00001852,00000042,00000000,31.2129287720,1468387164474 
Seeking initial Contact,00001868,00001852,00000016,00000000,31.2268199921,1468387164480 
Seeking initial Contact,00001882,00001852,00000030,00000000,31.2409076691,1468387164486 
Seeking initial Contact,00001862,00001852,00000010,00000000,31.2547988892,1468387164491 
Seeking initial Contact,00001871,00001852,00000019,00000000,31.2688884735,1468387164498 
Seeking initial Contact,00001853,00001852,00000001,00000000,31.2847633362,1468387164503 
Seeking initial Contact,00001862,00001852,00000010,00000000,31.2987518311,1468387164509 
Seeking initial Contact,00001884,00001852,00000032,00000000,31.3127422333,1468387164515 
Seeking initial Contact,00001869,00001852,00000017,00000000,31.3266334534,1468387164520 
Seeking initial Contact,00001882,00001852,00000030,00000000,31.3403263092,1468387164526 
Seeking initial Contact,00001869,00001852,00000017,00000000,31.3544139862,1468387164532 
Seeking initial Contact,00001880,00001852,00000028,00000000,31.3684043884,1468387164538 
Seeking initial Contact,00001831,00001852,-0000021,00000000,31.3839817047,1468387164544 
Seeking initial Contact,00001845,00001852,-0000007,00000000,31.3987655640,1468387164550 
Seeking initial Contact,00001871,00001852,00000019,00000000,31.4128551483,1468387164555 
Seeking initial Contact,00001880,00001852,00000028,00000000,31.4267444611,1468387164561 
Seeking initial Contact,00001891,00001852,00000039,00000000,31.4405364990,1468387164566 
Seeking initial Contact,00001885,00001852,00000033,00000000,31.4544277191,1468387164572 
Seeking initial Contact,00001877,00001852,00000025,00000000,31.4684162140,1468387164578 
Seeking initial Contact,00001838,00001852,-0000014,00000000,31.4842910767,1468387164584 
Seeking initial Contact,00001829,00001852,-0000023,00000000,31.4984798431,1468387164590 
Seeking initial Contact,00001843,00001852,-0000009,00000000,31.5123710632,1468387164596 
Seeking initial Contact,00001844,00001852,-0000008,00000000,31.5272541046,1468387164602 
Seeking initial Contact,00001893,00001852,00000041,00000000,31.5416393280,1468387164607 
Seeking initial Contact,00001890,00001852,00000038,00000000,31.5556297302,1468387164613 
Seeking initial Contact,00001890,00001852,00000038,00000000,31.5694217682,1468387164619 
Seeking initial Contact,00001875,00001852,00000023,00000000,31.5832138062,1468387164624 
Seeking initial Contact,00001863,00001852,00000011,00000000,31.5979957581,1468387164630 
Seeking initial Contact,00001829,00001852,-0000023,00000000,31.6123828888,1468387164636 
Seeking initial Contact,00001831,00001852,-0000021,00000000,31.6265716553,1468387164642 
Seeking initial Contact,00001887,00001852,00000035,00000000,31.6413555145,1468387164648 
Seeking initial Contact,00001881,00001852,00000029,00000000,31.6555442810,1468387164653 
Seeking initial Contact,00001901,00001852,00000049,00000000,31.6698303223,1468387164660 
Seeking initial Contact,00001850,00001852,-0000002,00000000,31.6853084564,1468387164665 
Seeking initial Contact,00001856,00001852,00000004,00000000,31.6992988586,1468387164671 
Seeking initial Contact,00001821,00001852,-0000031,00000000,31.7131900787,1468387164677 
Seeking initial Contact,00001834,00001852,-0000018,00000000,31.7270793915,1468387164682 
Seeking initial Contact,00001841,00001852,-0000011,00000000,31.7409706116,1468387164688 
Seeking initial Contact,00001858,00001852,00000006,00000000,31.7550601959,1468387164694 
Seeking initial Contact,00001871,00001852,00000019,00000000,31.7691497803,1468387164700 
Seeking initial Contact,00001884,00001852,00000032,00000000,31.7843284607,1468387164706 
Seeking initial Contact,00001892,00001852,00000040,00000000,31.7984180450,1468387164711 
Seeking initial Contact,00001856,00001852,00000004,00000000,31.8123092651,1468387164717 
Seeking initial Contact,00001880,00001852,00000028,00000000,31.8263988495,1468387164722 
Seeking initial Contact,00001851,00001852,-0000001,00000000,31.8402881622,1468387164728 
Seeking initial Contact,00001854,00001852,00000002,00000000,31.8554687500,1468387164734 
Seeking initial Contact,00001866,00001852,00000014,00000000,31.8700542450,1468387164740 
Seeking initial Contact,00001868,00001852,00000016,00000000,31.8844413757,1468387164746 
Seeking initial Contact,00001888,00001852,00000036,00000000,31.8988285065,1468387164752 
Seeking initial Contact,00001881,00001852,00000029,00000000,31.9131145477,1468387164758 
Seeking initial Contact,00001869,00001852,00000017,00000000,31.9284934998,1468387164764 
Seeking initial Contact,00001849,00001852,-0000003,00000000,31.9424839020,1468387164770 
Seeking initial Contact,00001849,00001852,-0000003,00000000,31.9564743042,1468387164775 
Seeking initial Contact,00001862,00001852,00000010,00000000,31.9703636169,1468387164781 
Seeking initial Contact,00001844,00001852,-0000008,00000000,31.9840564728,1468387164786 
Seeking initial Contact,00001893,00001852,00000041,00000000,31.9983444214,1468387164792 
Seeking initial Contact,00001893,00001852,00000041,00000000,32.0119361877,1468387164798 
Seeking initial Contact,00001910,00001852,00000058,00000000,32.0261268616,1468387164803 
Seeking initial Contact,00001883,00001852,00000031,00000000,32.0400161743,1468387164809 
Seeking initial Contact,00001859,00001852,00000007,00000000,32.0554924011,1468387164815 
Seeking initial Contact,00001843,00001852,-0000009,00000000,32.0694847107,1468387164821 
Seeking initial Contact,00001833,00001852,-0000019,00000000,32.0832748413,1468387164826 
Seeking initial Contact,00001856,00001852,00000004,00000000,32.0970649719,1468387164832 
Seeking initial Contact,00001850,00001852,-0000002,00000000,32.1111564636,1468387164838 
Seeking initial Contact,00001903,00001852,00000051,00000000,32.1258392334,1468387164844 
Seeking initial Contact,00001891,00001852,00000039,00000000,32.1411209106,1468387164850 
Seeking initial Contact,00001882,00001852,00000030,00000000,32.1552085876,1468387164856 
Seeking initial Contact,00001833,00001852,-0000019,00000000,32.1693954468,1468387164861 
Seeking initial Contact,00001851,00001852,-0000001,00000000,32.1833877563,1468387164867 
Seeking initial Contact,00001844,00001852,-0000008,00000000,32.1973762512,1468387164873 
Seeking initial Contact,00001861,00001852,00000009,00000000,32.2128562927,1468387164879 
Seeking initial Contact,00001910,00001852,00000058,00000000,32.2270431519,1468387164885 
Seeking initial Contact,00001910,00001852,00000058,00000000,32.2410316467,1468387164890 
Seeking initial Contact,00001901,00001852,00000049,00000000,32.2552223206,1468387164896 
Seeking initial Contact,00001867,00001852,00000015,00000000,32.2693099976,1468387164902 
Seeking initial Contact,00001850,00001852,-0000002,00000000,32.2847900391,1468387164908 
